Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Elevation,Duration,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,ResultsRetrieved,StartListRetrieved,DetailsCompleted,GameOrganized,Error,Updated
tour-of-mersin/2025/stage-2,tour-of-mersin/2025/stage-2,stage-2,tour-of-mersin/2025,0,Stage 2 |  -,2025-04-11 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-mersin/2025/stage-3,tour-of-mersin/2025/stage-3,stage-3,tour-of-mersin/2025,0,Stage 3 |  -,2025-04-12 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-mersin/2025/stage-4,tour-of-mersin/2025/stage-4,stage-4,tour-of-mersin/2025,0,Stage 4 |  -,2025-04-13 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-norway/2024,NULL,NULL,NULL,1,Tour of Norway,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
tour-of-norway/2024/stage-1,tour-of-norway/2024/stage-1,stage-1,tour-of-norway/2024,1,Stage 1 | Voss - Voss Resort,2024-05-23 00:00:00.000,Multi-day race,142,2398,4,Finished,https://www.procyclingstats.com/images/profiles/ca/fa/tour-of-norway-2024-stage-1-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,3,183,123,173,0.2kmsolo,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-norway/2024/stage-1,https://www.worldcyclingstats.com/en/race/tour-of-norway/2024/stage-1,0,1,0,0,NULL,NULL,2025-02-06 19:39:58.2183580
tour-of-norway/2024/stage-2,tour-of-norway/2024/stage-2,stage-2,tour-of-norway/2024,1,Stage 2 | Odda - Gullingen,2024-05-24 00:00:00.000,Multi-day race,205,3450,0,Finished,https://www.procyclingstats.com/images/profiles/ca/be/tour-of-norway-2024-stage-2-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,3,217,123,173,Sprintof9riders,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-norway/2024/stage-2,https://www.worldcyclingstats.com/en/race/tour-of-norway/2024/stage-2,0,1,0,0,NULL,NULL,2025-02-06 19:40:01.5738730
tour-of-norway/2024/stage-3,tour-of-norway/2024/stage-3,stage-3,tour-of-norway/2024,1,Stage 3 | Sola - Egersund,2024-05-25 00:00:00.000,Multi-day race,173,1306,0,Finished,https://www.procyclingstats.com/images/profiles/ca/fe/tour-of-norway-2024-stage-3-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,1,18,123,173,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-norway/2024/stage-3,https://www.worldcyclingstats.com/en/race/tour-of-norway/2024/stage-3,0,1,0,0,NULL,NULL,2025-02-06 19:40:05.9480020
tour-of-norway/2024/stage-4,tour-of-norway/2024/stage-4,stage-4,tour-of-norway/2024,1,Stage 4 | Stavanger - Stavanger,2024-05-26 00:00:00.000,Multi-day race,124,1458,0,Finished,https://www.procyclingstats.com/images/profiles/ca/bc/tour-of-norway-2024-stage-4-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,2,48,123,173,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-norway/2024/stage-4,https://www.worldcyclingstats.com/en/race/tour-of-norway/2024/stage-4,0,1,0,0,NULL,NULL,2025-02-06 19:40:09.2871630
tour-of-norway/2025,NULL,NULL,NULL,0,Tour of Norway,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 20:08:32.5308080
tour-of-norway/2025/stage-1,tour-of-norway/2025/stage-1,stage-1,tour-of-norway/2025,0,Stage 1 |  -,2025-05-29 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
