Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,Elevation,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,GameOrganized,Updated
tour-cycliste-international-de-la-guadeloupe/2022/stage-10,tour-cycliste-international-de-la-guadeloupe/2022/stage-10,,,True,Tour Cycliste International de la Guadeloupe,2022-08-14,Multi-day race,147.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/dd/tour-cycliste-international-de-la-guadeloupe-2022-stage-10-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,5.0,337.0,863.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-10,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-10,,,2025-01-20 13:55:31.071118
tour-cycliste-international-de-la-guadeloupe/2022/stage-2,tour-cycliste-international-de-la-guadeloupe/2022/stage-2,,,True,Tour Cycliste International de la Guadeloupe,2022-08-06,Multi-day race,156.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ec/tour-cycliste-international-de-la-guadeloupe-2022-stage-2-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,9.0,337.0,915.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-2,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-2,,,2025-01-20 13:55:32.450615
tour-cycliste-international-de-la-guadeloupe/2022/stage-3,tour-cycliste-international-de-la-guadeloupe/2022/stage-3,,,True,Tour Cycliste International de la Guadeloupe,2022-08-07,Multi-day race,144.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/fb/tour-cycliste-international-de-la-guadeloupe-2022-stage-3-profile.jpg,2.2.Stage,UCI.WR.2.Stage,3.0,95.0,337.0,1424.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-3,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-3,,,2025-01-20 13:55:33.853698
tour-cycliste-international-de-la-guadeloupe/2022/stage-4,tour-cycliste-international-de-la-guadeloupe/2022/stage-4,,,True,Tour Cycliste International de la Guadeloupe,2022-08-08,Multi-day race,145.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/cc/tour-cycliste-international-de-la-guadeloupe-2022-stage-4-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,22.0,337.0,1087.0,7.0,?kmsolo,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-4,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-4,,,2025-01-20 13:55:35.245513
tour-cycliste-international-de-la-guadeloupe/2022/stage-5,tour-cycliste-international-de-la-guadeloupe/2022/stage-5,,,True,Tour Cycliste International de la Guadeloupe,2022-08-09,Multi-day race,156.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/de/tour-cycliste-international-de-la-guadeloupe-2022-stage-5-profile.jpg,2.2.Stage,UCI.WR.2.Stage,2.0,26.0,337.0,1334.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-5,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-5,,,2025-01-20 13:55:36.672415
tour-cycliste-international-de-la-guadeloupe/2022/stage-6,tour-cycliste-international-de-la-guadeloupe/2022/stage-6,,,True,Tour Cycliste International de la Guadeloupe,2022-08-10,Multi-day race,148.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ba/tour-cycliste-international-de-la-guadeloupe-2022-stage-6-profile.jpg,2.2.Stage,UCI.WR.2.Stage,3.0,193.0,337.0,2583.0,7.0,?kmsolo,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-6,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-6,,,2025-01-20 13:55:38.057250
tour-cycliste-international-de-la-guadeloupe/2022/stage-7,tour-cycliste-international-de-la-guadeloupe/2022/stage-7,,,True,Tour Cycliste International de la Guadeloupe,2022-08-11,Multi-day race,174.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/af/tour-cycliste-international-de-la-guadeloupe-2022-stage-7-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,24.0,337.0,1417.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-7,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-7,,,2025-01-20 13:55:39.437860
tour-cycliste-international-de-la-guadeloupe/2022/stage-8,tour-cycliste-international-de-la-guadeloupe/2022/stage-8,,,True,Tour Cycliste International de la Guadeloupe,2022-08-12,Multi-day race,31.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/fe/tour-cycliste-international-de-la-guadeloupe-2022-stage-8-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,1.0,337.0,156.0,7.0,,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-8,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-8,,,2025-01-20 13:55:40.838365
tour-cycliste-international-de-la-guadeloupe/2022/stage-9,tour-cycliste-international-de-la-guadeloupe/2022/stage-9,,,True,Tour Cycliste International de la Guadeloupe,2022-08-13,Multi-day race,139.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ba/tour-cycliste-international-de-la-guadeloupe-2022-stage-9-profile.jpg,2.2.Stage,UCI.WR.2.Stage,3.0,217.0,337.0,2522.0,7.0,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-9,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-9,,,2025-01-20 13:55:42.235750
tour-cycliste-international-de-la-guadeloupe/2023,,,,False,Tour Cycliste International de la Guadeloupe,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:11.923165
